task_id,asset_id,section_id,asset_type,task_type,defect_type,severity,criticality,inspection_date,reported_date,due_date,estimated_duration_hours,required_team_size,safety_impact,status,signal_block_required
SIG0026,AST0773,SEC023,Relay,Point Machine Servicing,Clutch slip,1,CRITICAL,2025-02-03,2025-02-06,2025-02-11,12.0,4,HIGH,Scheduled,False
SIG0027,AST0855,SEC030,Level Crossing Equipment,Track Circuit Maintenance,Feed-end issue,3,MEDIUM,2025-03-17,2025-03-18,2025-04-09,2.5,2,MEDIUM,Pending,False
SIG0028,AST0989,SEC014,Relay,Relay Replacement,Contact oxidation,3,MEDIUM,2025-11-24,2025-11-25,2025-12-17,3.0,14,MEDIUM,Scheduled,False
SIG0029,AST0783,SEC033,Level Crossing Equipment,Point Machine Servicing,Detection rod issue,4,LOW,2025-11-25,2025-11-27,2026-01-02,9.7,14,LOW,In Progress,True
SIG0030,AST0857,SEC032,Point Machine,Signal Inspection,Aspect error,3,MEDIUM,2025-07-31,2025-08-03,2025-08-27,8.4,4,MEDIUM,In Progress,True
SIG0031,AST0767,SEC017,Level Crossing Equipment,Track Circuit Maintenance,Bonding defect,3,MEDIUM,2025-11-03,2025-11-06,2025-11-26,2.5,10,MEDIUM,Pending,True
SIG0032,AST0910,SEC010,Communication Equipment,Axle Counter Calibration,Count error,3,MEDIUM,2025-01-29,2025-01-31,2025-02-24,7.8,5,MEDIUM,Completed,True
SIG0033,AST0982,SEC007,Communication Equipment,Level Crossing Maintenance,Boom barrier fault,3,MEDIUM,2025-11-17,2025-11-17,2025-12-07,5.8,7,MEDIUM,Pending,False
SIG0034,AST0829,SEC004,Relay,Interlocking Test,Logic error,2,HIGH,2025-11-18,2025-11-19,2025-11-29,8.3,13,HIGH,Scheduled,True
SIG0035,AST0831,SEC006,Level Crossing Equipment,Communication Equipment Repair,OFC splice loss,4,LOW,2025-10-09,2025-10-11,2025-11-27,11.1,6,LOW,Completed,True
SIG0036,AST0781,SEC031,Relay,Interlocking Test,Route locking fault,2,HIGH,2025-03-19,2025-03-19,2025-03-27,4.7,10,HIGH,Completed,False
SIG0037,AST0753,SEC003,Point Machine,Track Circuit Maintenance,Bonding defect,3,MEDIUM,2025-01-04,2025-01-07,2025-02-05,8.6,8,MEDIUM,Completed,True
SIG0038,AST0827,SEC002,Axle Counter,Communication Equipment Repair,Control phone failure,3,MEDIUM,2025-08-31,2025-09-03,2025-09-20,6.5,13,MEDIUM,Scheduled,False
SIG0039,AST0917,SEC017,Relay,Interlocking Test,Overlap fault,5,LOW,2025-07-14,2025-07-16,2025-09-11,10.8,5,LOW,Completed,False
SIG0040,AST0737,SEC062,Point Machine,Track Circuit Maintenance,Feed-end issue,5,LOW,2025-10-04,2025-10-07,2025-12-10,2.0,13,LOW,Pending,True
SIG0041,AST0814,SEC064,Communication Equipment,Level Crossing Maintenance,Lighting defect,5,LOW,2025-08-10,2025-08-13,2025-10-17,7.8,10,LOW,Cancelled,False
SIG0042,AST0894,SEC069,Communication Equipment,Point Machine Servicing,Detection rod issue,4,LOW,2025-04-17,2025-04-20,2025-05-22,1.6,8,LOW,Completed,True
SIG0043,AST0964,SEC064,Interlocking,Relay Replacement,Contact oxidation,4,LOW,2025-01-18,2025-01-20,2025-03-15,1.3,8,LOW,In Progress,True
SIG0044,AST0827,SEC002,Axle Counter,Interlocking Test,Overlap fault,5,LOW,2025-03-31,2025-03-31,2025-05-29,9.7,6,LOW,Completed,False
SIG0045,AST0978,SEC003,Track Circuit,Communication Equipment Repair,Control phone failure,1,CRITICAL,2025-09-15,2025-09-16,2025-09-23,8.4,4,HIGH,Completed,True
SIG0046,AST0985,SEC010,Point Machine,Communication Equipment Repair,OFC splice loss,3,MEDIUM,2025-03-05,2025-03-05,2025-03-25,7.4,11,MEDIUM,Completed,True
SIG0047,AST0859,SEC034,Axle Counter,Relay Replacement,Timing drift,3,MEDIUM,2025-05-09,2025-05-10,2025-06-06,10.5,6,MEDIUM,Scheduled,False
SIG0048,AST0977,SEC002,Point Machine,Axle Counter Calibration,Cable fault,3,MEDIUM,2025-09-21,2025-09-22,2025-10-10,9.1,5,MEDIUM,Completed,True
SIG0049,AST0844,SEC019,Interlocking,Point Machine Servicing,Motor fault,5,LOW,2025-05-11,2025-05-13,2025-07-09,2.6,4,LOW,Completed,True
SIG0050,AST0801,SEC051,Point Machine,Level Crossing Maintenance,Bell failure,4,LOW,2025-05-26,2025-05-28,2025-07-04,3.1,13,LOW,Cancelled,True
SIG0051,AST0747,SEC072,Axle Counter,Relay Replacement,Contact oxidation,2,HIGH,2025-04-30,2025-05-02,2025-05-16,6.6,14,HIGH,Pending,True
SIG0052,AST0897,SEC072,Point Machine,Relay Replacement,Contact oxidation,3,MEDIUM,2025-12-21,2025-12-21,2026-01-07,3.0,5,MEDIUM,Completed,True
SIG0053,AST0985,SEC010,Point Machine,Axle Counter Calibration,Count error,3,MEDIUM,2025-01-27,2025-01-30,2025-02-27,3.8,15,MEDIUM,Completed,True
SIG0054,AST0859,SEC034,Axle Counter,Point Machine Servicing,Motor fault,4,LOW,2025-03-14,2025-03-16,2025-04-13,10.8,14,LOW,Scheduled,False
SIG0055,AST0750,SEC075,Communication Equipment,Point Machine Servicing,Detection rod issue,4,LOW,2025-08-10,2025-08-13,2025-09-21,10.7,7,LOW,Pending,True
SIG0056,AST0824,SEC074,Signal,Track Circuit Maintenance,Receiver fault,2,HIGH,2025-09-02,2025-09-03,2025-09-11,6.7,15,HIGH,Scheduled,True
SIG0057,AST0842,SEC017,Track Circuit,Communication Equipment Repair,Control phone failure,1,CRITICAL,2025-09-16,2025-09-18,2025-09-22,5.0,6,HIGH,Scheduled,True
SIG0058,AST0787,SEC037,Axle Counter,Axle Counter Calibration,Count error,3,MEDIUM,2025-06-05,2025-06-07,2025-06-30,9.3,2,MEDIUM,Cancelled,True
SIG0059,AST0758,SEC008,Communication Equipment,Level Crossing Maintenance,Bell failure,3,MEDIUM,2025-06-28,2025-06-30,2025-07-30,7.1,12,MEDIUM,Cancelled,False
SIG0060,AST0923,SEC023,Axle Counter,Track Circuit Maintenance,Bonding defect,1,CRITICAL,2025-11-11,2025-11-11,2025-11-14,2.4,12,HIGH,Cancelled,False
SIG0061,AST0934,SEC034,Communication Equipment,Interlocking Test,Route locking fault,4,LOW,2025-02-20,2025-02-23,2025-03-27,10.8,6,LOW,Scheduled,False
SIG0062,AST0949,SEC049,Relay,Point Machine Servicing,Detection rod issue,3,MEDIUM,2025-10-11,2025-10-11,2025-10-26,6.0,15,MEDIUM,Scheduled,False
SIG0063,AST0867,SEC042,Axle Counter,Communication Equipment Repair,Radio fault,1,CRITICAL,2025-08-22,2025-08-22,2025-08-28,11.8,8,HIGH,Cancelled,True
SIG0064,AST0985,SEC010,Point Machine,Level Crossing Maintenance,Gate motor issue,2,HIGH,2025-04-25,2025-04-28,2025-05-07,2.3,11,HIGH,Completed,True
SIG0065,AST0964,SEC064,Interlocking,Axle Counter Calibration,Reset failure,4,LOW,2025-03-25,2025-03-27,2025-05-09,11.6,13,LOW,Completed,True
SIG0066,AST0966,SEC066,Communication Equipment,Level Crossing Maintenance,Bell failure,3,MEDIUM,2025-03-30,2025-03-31,2025-04-15,3.0,6,MEDIUM,Completed,False
SIG0067,AST0827,SEC002,Axle Counter,Axle Counter Calibration,Reset failure,3,MEDIUM,2025-05-29,2025-05-29,2025-06-12,5.2,4,MEDIUM,Pending,False
SIG0068,AST0906,SEC006,Track Circuit,Interlocking Test,Logic error,2,HIGH,2025-06-23,2025-06-26,2025-07-10,7.6,13,HIGH,Scheduled,True
SIG0069,AST0912,SEC012,Signal,Track Circuit Maintenance,Bonding defect,4,LOW,2025-02-01,2025-02-03,2025-03-07,9.0,6,LOW,Pending,True
SIG0070,AST0706,SEC031,Track Circuit,Interlocking Test,Route locking fault,3,MEDIUM,2025-03-16,2025-03-16,2025-04-03,4.3,8,MEDIUM,Completed,True
SIG0071,AST0741,SEC066,Relay,Point Machine Servicing,Clutch slip,5,LOW,2025-06-02,2025-06-02,2025-07-18,8.8,13,LOW,Pending,True
SIG0072,AST0791,SEC041,Level Crossing Equipment,Communication Equipment Repair,OFC splice loss,3,MEDIUM,2025-06-10,2025-06-12,2025-06-27,7.8,9,MEDIUM,In Progress,True
SIG0073,AST0960,SEC060,Signal,Level Crossing Maintenance,Gate motor issue,3,MEDIUM,2025-01-13,2025-01-14,2025-01-29,8.9,5,MEDIUM,In Progress,True
SIG0074,AST0933,SEC033,Relay,Signal Inspection,Lens damage,3,MEDIUM,2025-05-11,2025-05-11,2025-06-04,8.7,8,MEDIUM,Completed,False
SIG0075,AST0914,SEC014,Track Circuit,Signal Inspection,Signal post tilt,4,LOW,2025-12-17,2025-12-19,2026-02-05,8.0,11,LOW,Completed,False
SIG0076,AST0784,SEC034,Signal,Signal Inspection,Aspect error,3,MEDIUM,2025-06-08,2025-06-10,2025-07-03,1.1,8,MEDIUM,Scheduled,True
SIG0077,AST0707,SEC032,Axle Counter,Track Circuit Maintenance,Insulation failure,4,LOW,2025-11-30,2025-12-02,2026-01-04,10.4,11,LOW,Completed,True
SIG0078,AST0715,SEC040,Axle Counter,Level Crossing Maintenance,Boom barrier fault,2,HIGH,2025-01-24,2025-01-24,2025-02-07,10.3,12,HIGH,Scheduled,False
SIG0079,AST0876,SEC051,Interlocking,Track Circuit Maintenance,Feed-end issue,3,MEDIUM,2025-11-13,2025-11-15,2025-12-05,9.4,6,MEDIUM,Pending,False
SIG0080,AST0827,SEC002,Axle Counter,Interlocking Test,Route locking fault,3,MEDIUM,2025-10-10,2025-10-10,2025-11-02,2.6,2,MEDIUM,Pending,True
SIG0081,AST0798,SEC048,Communication Equipment,Relay Replacement,Contact oxidation,5,LOW,2025-08-16,2025-08-18,2025-10-06,9.8,11,LOW,Pending,True
SIG0082,AST0778,SEC028,Track Circuit,Relay Replacement,Contact oxidation,3,MEDIUM,2025-06-28,2025-06-29,2025-07-20,2.2,11,MEDIUM,Completed,True
SIG0083,AST0759,SEC009,Level Crossing Equipment,Level Crossing Maintenance,Lighting defect,4,LOW,2025-08-25,2025-08-25,2025-10-08,7.2,9,LOW,Cancelled,False
SIG0084,AST0701,SEC026,Relay,Track Circuit Maintenance,Bonding defect,5,LOW,2025-07-02,2025-07-02,2025-09-24,10.3,10,LOW,Cancelled,True
SIG0085,AST0771,SEC021,Axle Counter,Level Crossing Maintenance,Gate motor issue,5,LOW,2025-07-27,2025-07-28,2025-10-22,4.1,4,LOW,Pending,False
SIG0086,AST0915,SEC015,Axle Counter,Relay Replacement,Timing drift,3,MEDIUM,2025-07-23,2025-07-24,2025-08-09,4.7,5,MEDIUM,Completed,False
SIG0087,AST0796,SEC046,Interlocking,Communication Equipment Repair,Fiber break,2,HIGH,2025-07-05,2025-07-05,2025-07-17,11.9,7,HIGH,Cancelled,True
SIG0088,AST0924,SEC024,Interlocking,Level Crossing Maintenance,Gate motor issue,4,LOW,2025-11-02,2025-11-03,2025-12-13,1.9,10,LOW,Pending,True
SIG0089,AST0728,SEC053,Signal,Point Machine Servicing,Clutch slip,2,HIGH,2025-01-03,2025-01-05,2025-01-14,8.1,11,HIGH,Pending,True
SIG0090,AST0816,SEC066,Signal,Axle Counter Calibration,Cable fault,4,LOW,2025-09-11,2025-09-11,2025-10-22,11.1,6,LOW,Scheduled,True
SIG0091,AST0998,SEC023,Communication Equipment,Track Circuit Maintenance,Receiver fault,3,MEDIUM,2025-11-24,2025-11-25,2025-12-25,4.0,4,MEDIUM,Pending,False
SIG0092,AST0705,SEC030,Point Machine,Signal Inspection,Aspect error,3,MEDIUM,2025-10-19,2025-10-19,2025-11-11,1.4,6,MEDIUM,Cancelled,True
SIG0093,AST0873,SEC048,Point Machine,Interlocking Test,Overlap fault,4,LOW,2025-08-13,2025-08-16,2025-10-02,7.2,13,LOW,Pending,True
SIG0094,AST0967,SEC067,Level Crossing Equipment,Track Circuit Maintenance,Receiver fault,5,LOW,2025-11-13,2025-11-14,2026-01-18,10.9,12,LOW,Pending,False
SIG0095,AST0897,SEC072,Point Machine,Communication Equipment Repair,OFC splice loss,2,HIGH,2025-06-30,2025-07-01,2025-07-15,4.1,15,HIGH,Cancelled,True
SIG0096,AST0953,SEC053,Point Machine,Interlocking Test,Overlap fault,4,LOW,2025-08-09,2025-08-11,2025-09-06,7.8,2,LOW,Pending,True
SIG0097,AST0960,SEC060,Signal,Level Crossing Maintenance,Bell failure,5,LOW,2025-08-14,2025-08-16,2025-11-09,10.6,15,LOW,Pending,True
SIG0098,AST0962,SEC062,Track Circuit,Track Circuit Maintenance,Bonding defect,2,HIGH,2025-09-11,2025-09-12,2025-09-21,5.9,12,HIGH,Scheduled,False
SIG0099,AST0701,SEC026,Relay,Axle Counter Calibration,Count error,4,LOW,2025-08-04,2025-08-05,2025-10-04,11.1,8,LOW,Completed,False
SIG0100,AST0945,SEC045,Point Machine,Interlocking Test,Signal interlocking mismatch,3,MEDIUM,2025-10-25,2025-10-25,2025-11-19,10.0,10,MEDIUM,Completed,True
SIG0101,AST0835,SEC010,Axle Counter,Interlocking Test,Route locking fault,3,MEDIUM,2025-06-09,2025-06-10,2025-07-10,4.4,9,MEDIUM,Pending,True
SIG0102,AST0791,SEC041,Level Crossing Equipment,Axle Counter Calibration,Count error,3,MEDIUM,2025-07-11,2025-07-11,2025-08-04,4.3,4,MEDIUM,Pending,False
SIG0103,AST0928,SEC028,Signal,Communication Equipment Repair,Radio fault,3,MEDIUM,2025-07-30,2025-08-01,2025-08-31,7.8,10,MEDIUM,Completed,True
SIG0104,AST0887,SEC062,Level Crossing Equipment,Track Circuit Maintenance,Bonding defect,1,CRITICAL,2025-01-22,2025-01-25,2025-01-31,7.9,10,HIGH,Completed,False
SIG0105,AST0919,SEC019,Level Crossing Equipment,Point Machine Servicing,Motor fault,3,MEDIUM,2025-04-01,2025-04-01,2025-04-20,3.6,3,MEDIUM,Scheduled,False
SIG0106,AST0828,SEC003,Interlocking,Interlocking Test,Signal interlocking mismatch,4,LOW,2025-05-08,2025-05-10,2025-06-19,2.5,12,LOW,Pending,False
SIG0107,AST0918,SEC018,Communication Equipment,Axle Counter Calibration,Count error,3,MEDIUM,2025-11-26,2025-11-29,2025-12-28,5.4,4,MEDIUM,Completed,True
SIG0108,AST0859,SEC034,Axle Counter,Level Crossing Maintenance,Lighting defect,3,MEDIUM,2025-05-15,2025-05-16,2025-06-09,7.7,14,MEDIUM,Pending,False
SIG0109,AST0927,SEC027,Level Crossing Equipment,Level Crossing Maintenance,Lighting defect,4,LOW,2025-08-14,2025-08-15,2025-09-20,11.0,9,LOW,Scheduled,False
SIG0110,AST0801,SEC051,Point Machine,Axle Counter Calibration,Reset failure,4,LOW,2025-11-01,2025-11-03,2025-12-15,4.5,7,LOW,Pending,False
SIG0111,AST0840,SEC015,Signal,Signal Inspection,Aspect error,4,LOW,2025-11-06,2025-11-08,2025-12-19,7.8,12,LOW,In Progress,True
SIG0112,AST0757,SEC007,Relay,Relay Replacement,Contact oxidation,3,MEDIUM,2025-02-24,2025-02-26,2025-03-25,6.0,15,MEDIUM,In Progress,True
SIG0113,AST0876,SEC051,Interlocking,Track Circuit Maintenance,Feed-end issue,2,HIGH,2025-12-16,2025-12-18,2026-01-02,3.4,8,HIGH,Scheduled,False
SIG0114,AST0734,SEC059,Communication Equipment,Interlocking Test,Signal interlocking mismatch,2,HIGH,2025-08-15,2025-08-16,2025-08-25,6.9,6,HIGH,Completed,False
SIG0115,AST0728,SEC053,Signal,Relay Replacement,Timing drift,5,LOW,2025-02-27,2025-02-28,2025-05-10,10.8,2,LOW,Completed,True
SIG0116,AST0911,SEC011,Level Crossing Equipment,Level Crossing Maintenance,Gate motor issue,4,LOW,2025-08-07,2025-08-09,2025-09-17,3.1,14,LOW,Pending,True
SIG0117,AST0912,SEC012,Signal,Communication Equipment Repair,Radio fault,2,HIGH,2025-07-05,2025-07-06,2025-07-16,3.6,5,HIGH,Pending,True
SIG0118,AST0830,SEC005,Communication Equipment,Interlocking Test,Overlap fault,3,MEDIUM,2025-04-07,2025-04-07,2025-04-21,4.7,14,MEDIUM,Pending,True
SIG0119,AST0741,SEC066,Relay,Axle Counter Calibration,Count error,4,LOW,2025-07-31,2025-08-03,2025-09-02,2.0,8,LOW,Pending,False
SIG0120,AST0987,SEC012,Axle Counter,Signal Inspection,Lamp failure,2,HIGH,2025-07-12,2025-07-14,2025-07-29,8.5,14,HIGH,In Progress,False
SIG0121,AST0991,SEC016,Level Crossing Equipment,Track Circuit Maintenance,Bonding defect,2,HIGH,2025-02-13,2025-02-14,2025-02-24,2.9,4,HIGH,Completed,True
SIG0122,AST0969,SEC069,Point Machine,Communication Equipment Repair,Control phone failure,3,MEDIUM,2025-07-31,2025-08-01,2025-08-20,7.6,13,MEDIUM,Completed,False
SIG0123,AST0966,SEC066,Communication Equipment,Axle Counter Calibration,Reset failure,4,LOW,2025-11-11,2025-11-12,2026-01-09,10.8,3,LOW,Completed,True
SIG0124,AST0955,SEC055,Axle Counter,Axle Counter Calibration,Sensor misalignment,3,MEDIUM,2025-07-22,2025-07-25,2025-08-22,10.2,14,MEDIUM,Completed,False
SIG0125,AST0994,SEC019,Track Circuit,Relay Replacement,Coil failure,2,HIGH,2025-01-15,2025-01-17,2025-01-30,7.6,9,HIGH,Pending,True
SIG0126,AST0990,SEC015,Communication Equipment,Track Circuit Maintenance,Insulation failure,3,MEDIUM,2025-10-25,2025-10-26,2025-11-12,9.9,10,MEDIUM,Scheduled,False
SIG0127,AST0907,SEC007,Axle Counter,Track Circuit Maintenance,Receiver fault,3,MEDIUM,2025-09-30,2025-09-30,2025-10-20,5.1,7,MEDIUM,Scheduled,False
SIG0128,AST0962,SEC062,Track Circuit,Track Circuit Maintenance,Insulation failure,2,HIGH,2025-12-07,2025-12-08,2025-12-21,1.6,15,HIGH,Pending,True
SIG0129,AST0915,SEC015,Axle Counter,Axle Counter Calibration,Sensor misalignment,3,MEDIUM,2025-04-10,2025-04-10,2025-05-03,5.4,4,MEDIUM,Pending,False
SIG0130,AST0721,SEC046,Point Machine,Signal Inspection,Aspect error,4,LOW,2025-08-26,2025-08-27,2025-10-15,2.0,10,LOW,Completed,True
SIG0131,AST0858,SEC033,Track Circuit,Interlocking Test,Logic error,2,HIGH,2025-07-25,2025-07-26,2025-08-09,7.8,13,HIGH,Scheduled,False
SIG0132,AST0814,SEC064,Communication Equipment,Communication Equipment Repair,Fiber break,3,MEDIUM,2025-04-11,2025-04-14,2025-05-01,11.9,2,MEDIUM,Completed,False
SIG0133,AST0776,SEC026,Signal,Axle Counter Calibration,Sensor misalignment,2,HIGH,2025-10-31,2025-10-31,2025-11-09,5.6,15,HIGH,Pending,True
SIG0134,AST0884,SEC059,Interlocking,Track Circuit Maintenance,Bonding defect,4,LOW,2025-02-14,2025-02-15,2025-04-06,2.9,11,LOW,Pending,True
SIG0135,AST1000,SEC025,Signal,Point Machine Servicing,Clutch slip,3,MEDIUM,2025-02-08,2025-02-11,2025-03-07,8.1,9,MEDIUM,Completed,True
SIG0136,AST0928,SEC028,Signal,Relay Replacement,Coil failure,1,CRITICAL,2025-02-06,2025-02-08,2025-02-15,2.8,14,HIGH,Completed,True
SIG0137,AST0855,SEC030,Level Crossing Equipment,Interlocking Test,Signal interlocking mismatch,4,LOW,2025-01-27,2025-01-28,2025-02-28,10.9,5,LOW,Scheduled,False
SIG0138,AST0764,SEC014,Interlocking,Signal Inspection,Signal post tilt,1,CRITICAL,2025-05-11,2025-05-14,2025-05-18,9.5,13,HIGH,Completed,False
SIG0139,AST0952,SEC052,Signal,Signal Inspection,Signal post tilt,3,MEDIUM,2025-12-15,2025-12-18,2026-01-17,2.9,11,MEDIUM,Pending,True
SIG0140,AST0831,SEC006,Level Crossing Equipment,Point Machine Servicing,Motor fault,4,LOW,2025-01-23,2025-01-26,2025-03-22,9.5,11,LOW,Pending,False
SIG0141,AST0964,SEC064,Interlocking,Point Machine Servicing,Lock bar defect,1,CRITICAL,2025-10-01,2025-10-02,2025-10-07,1.7,2,HIGH,Scheduled,True
SIG0142,AST0725,SEC050,Relay,Axle Counter Calibration,Count error,1,CRITICAL,2025-08-03,2025-08-06,2025-08-10,9.8,3,HIGH,Completed,True
SIG0143,AST0960,SEC060,Signal,Track Circuit Maintenance,Feed-end issue,1,CRITICAL,2025-08-25,2025-08-27,2025-08-30,5.3,3,HIGH,Cancelled,True
SIG0144,AST0723,SEC048,Axle Counter,Track Circuit Maintenance,Feed-end issue,2,HIGH,2025-10-05,2025-10-08,2025-10-22,8.2,7,HIGH,Completed,True
SIG0145,AST0778,SEC028,Track Circuit,Track Circuit Maintenance,Feed-end issue,3,MEDIUM,2025-09-28,2025-09-28,2025-10-20,4.9,8,MEDIUM,Completed,True
SIG0146,AST0888,SEC063,Signal,Level Crossing Maintenance,Gate motor issue,3,MEDIUM,2025-05-18,2025-05-20,2025-06-04,6.2,12,MEDIUM,Pending,False
SIG0147,AST0826,SEC001,Track Circuit,Level Crossing Maintenance,Boom barrier fault,4,LOW,2025-07-13,2025-07-16,2025-08-12,7.8,14,LOW,Completed,False
SIG0148,AST1000,SEC025,Signal,Signal Inspection,Signal post tilt,3,MEDIUM,2025-02-19,2025-02-22,2025-03-13,7.4,10,MEDIUM,Completed,True
SIG0149,AST0727,SEC052,Level Crossing Equipment,Relay Replacement,Contact oxidation,4,LOW,2025-06-04,2025-06-07,2025-08-03,3.6,10,LOW,Scheduled,False
SIG0150,AST0982,SEC007,Communication Equipment,Point Machine Servicing,Detection rod issue,2,HIGH,2025-10-23,2025-10-26,2025-11-10,9.7,12,HIGH,Pending,True
SIG0151,AST0842,SEC017,Track Circuit,Relay Replacement,Timing drift,1,CRITICAL,2025-02-02,2025-02-05,2025-02-10,7.4,13,HIGH,Scheduled,True
SIG0152,AST0922,SEC022,Track Circuit,Level Crossing Maintenance,Gate motor issue,3,MEDIUM,2025-02-18,2025-02-21,2025-03-20,5.5,7,MEDIUM,Pending,True
SIG0153,AST0894,SEC069,Communication Equipment,Track Circuit Maintenance,Bonding defect,3,MEDIUM,2025-07-31,2025-07-31,2025-08-18,4.0,13,MEDIUM,Cancelled,False
SIG0154,AST0706,SEC031,Track Circuit,Track Circuit Maintenance,Insulation failure,3,MEDIUM,2025-01-06,2025-01-09,2025-02-01,1.3,7,MEDIUM,Cancelled,True
SIG0155,AST0799,SEC049,Level Crossing Equipment,Communication Equipment Repair,Radio fault,3,MEDIUM,2025-09-12,2025-09-14,2025-10-12,6.0,14,MEDIUM,Completed,False
SIG0156,AST0957,SEC057,Relay,Signal Inspection,Lens damage,4,LOW,2025-11-26,2025-11-29,2025-12-27,9.3,12,LOW,Pending,False
SIG0157,AST0912,SEC012,Signal,Relay Replacement,Coil failure,3,MEDIUM,2025-07-11,2025-07-14,2025-07-30,8.4,13,MEDIUM,Completed,False
SIG0158,AST0800,SEC050,Signal,Axle Counter Calibration,Sensor misalignment,4,LOW,2025-10-06,2025-10-08,2025-11-28,9.5,12,LOW,Scheduled,True
SIG0159,AST0906,SEC006,Track Circuit,Communication Equipment Repair,Radio fault,3,MEDIUM,2025-07-03,2025-07-06,2025-08-02,11.6,10,MEDIUM,Pending,True
