task_id,asset_id,section_id,task_type,defect_type,severity,criticality,inspection_date,reported_date,due_date,estimated_duration_hours,required_team_size,safety_impact,status
ENG0030,AST0390,SEC015,Welding,Weld depression,2,HIGH,2025-02-02,2025-02-02,2025-02-12,9.3,5,HIGH,Completed
ENG0031,AST0228,SEC003,Sleeper Replacement,Missing sleeper,3,MEDIUM,2025-02-20,2025-02-23,2025-03-20,5.1,12,MEDIUM,Completed
ENG0032,AST0066,SEC066,Rail Replacement,Rail end batter,2,HIGH,2025-01-18,2025-01-18,2025-01-31,6.8,6,HIGH,Pending
ENG0033,AST0126,SEC051,Turnout Maintenance,Point mechanism fault,4,LOW,2025-04-16,2025-04-16,2025-06-10,6.4,5,LOW,Completed
ENG0034,AST0077,SEC002,Ballast Maintenance,Drainage blockage,5,LOW,2025-07-10,2025-07-11,2025-10-04,9.3,7,LOW,Pending
ENG0035,AST0260,SEC035,Welding,Misaligned weld,4,LOW,2025-07-30,2025-07-31,2025-08-30,5.1,12,LOW,Cancelled
ENG0036,AST0296,SEC071,Track Geometry Correction,Alignment defect,1,CRITICAL,2025-02-20,2025-02-23,2025-02-27,9.7,15,HIGH,Completed
ENG0037,AST0296,SEC071,Rail Replacement,End-post fracture,4,LOW,2025-05-27,2025-05-28,2025-07-12,8.5,5,LOW,Completed
ENG0038,AST0205,SEC055,Sleeper Replacement,Decayed wooden sleeper,4,LOW,2025-10-15,2025-10-15,2025-12-02,8.4,7,LOW,Cancelled
ENG0039,AST0227,SEC002,Track Geometry Correction,Cross-level error,2,HIGH,2025-06-10,2025-06-10,2025-06-20,11.6,4,HIGH,In Progress
ENG0040,AST0312,SEC012,Ballast Maintenance,Insufficient ballast,4,LOW,2025-08-13,2025-08-16,2025-09-18,6.5,9,LOW,Completed
ENG0041,AST0087,SEC012,Track Alignment,Buckling risk,4,LOW,2025-12-17,2025-12-18,2026-01-24,2.7,13,LOW,Pending
ENG0042,AST0054,SEC054,Welding,Thermit weld defect,3,MEDIUM,2025-09-05,2025-09-08,2025-10-04,7.7,12,MEDIUM,Completed
ENG0043,AST0086,SEC011,Rail Replacement,Broken rail,3,MEDIUM,2025-06-10,2025-06-12,2025-06-29,4.2,11,MEDIUM,Scheduled
ENG0044,AST0370,SEC070,Rail Replacement,Rail end batter,4,LOW,2025-05-28,2025-05-31,2025-07-08,8.6,4,LOW,Completed
ENG0045,AST0304,SEC004,Track Geometry Correction,Alignment defect,4,LOW,2025-07-25,2025-07-27,2025-09-22,9.5,4,LOW,Completed
ENG0046,AST0040,SEC040,Rail Inspection,Gauge deviation,4,LOW,2025-07-22,2025-07-25,2025-08-28,9.6,10,LOW,Pending
ENG0047,AST0230,SEC005,Sleeper Replacement,Decayed wooden sleeper,3,MEDIUM,2025-05-11,2025-05-14,2025-06-08,6.8,12,MEDIUM,Completed
ENG0048,AST0216,SEC066,Rail Replacement,Severely worn rail,3,MEDIUM,2025-10-10,2025-10-11,2025-10-29,11.3,14,MEDIUM,Cancelled
ENG0049,AST0092,SEC017,Track Geometry Correction,Alignment defect,3,MEDIUM,2025-10-13,2025-10-14,2025-10-31,9.6,15,MEDIUM,Scheduled
ENG0050,AST0159,SEC009,Track Geometry Correction,Cross-level error,5,LOW,2025-10-11,2025-10-13,2025-12-30,3.4,3,LOW,Scheduled
ENG0051,AST0133,SEC058,Rail Inspection,Worn rail head,3,MEDIUM,2025-11-24,2025-11-24,2025-12-14,11.5,15,MEDIUM,Scheduled
ENG0052,AST0399,SEC024,Welding,Thermit weld defect,5,LOW,2025-02-03,2025-02-04,2025-04-04,6.9,12,LOW,Completed
ENG0053,AST0238,SEC013,Rail Inspection,Rail crack,3,MEDIUM,2025-02-20,2025-02-22,2025-03-14,6.9,11,MEDIUM,In Progress
ENG0054,AST0181,SEC031,Welding,Weld depression,4,LOW,2025-05-29,2025-05-29,2025-07-02,10.4,6,LOW,Pending
ENG0055,AST0312,SEC012,Rail Inspection,Corrugation,3,MEDIUM,2025-08-29,2025-08-31,2025-09-30,4.6,4,MEDIUM,Pending
ENG0056,AST0338,SEC038,Track Alignment,Vertical misalignment,4,LOW,2025-03-01,2025-03-01,2025-04-04,8.2,13,LOW,Pending
ENG0057,AST0310,SEC010,Rail Inspection,Surface defect,3,MEDIUM,2025-04-25,2025-04-26,2025-05-13,1.5,12,MEDIUM,Completed
ENG0058,AST0387,SEC012,Rail Replacement,Severely worn rail,5,LOW,2025-10-26,2025-10-28,2025-12-30,2.5,14,LOW,Completed
ENG0059,AST0185,SEC035,Track Geometry Correction,Twist fault,5,LOW,2025-01-29,2025-02-01,2025-04-25,2.6,5,LOW,Completed
ENG0060,AST0372,SEC072,Ballast Maintenance,Fouled ballast,3,MEDIUM,2025-09-14,2025-09-17,2025-10-07,1.4,4,MEDIUM,Pending
ENG0061,AST0389,SEC014,Track Geometry Correction,Cross-level error,2,HIGH,2025-11-22,2025-11-24,2025-12-08,4.9,7,HIGH,Scheduled
ENG0062,AST0327,SEC027,Track Geometry Correction,Alignment defect,4,LOW,2025-10-21,2025-10-24,2025-12-21,10.1,10,LOW,Scheduled
ENG0063,AST0177,SEC027,Rail Inspection,Corrugation,3,MEDIUM,2025-08-10,2025-08-13,2025-09-10,7.8,11,MEDIUM,Completed
ENG0064,AST0148,SEC073,Rail Replacement,Broken rail,4,LOW,2025-11-01,2025-11-02,2025-12-09,6.7,12,LOW,Pending
ENG0065,AST0011,SEC011,Track Geometry Correction,Cross-level error,1,CRITICAL,2025-05-19,2025-05-20,2025-05-24,9.4,2,HIGH,Pending
ENG0066,AST0124,SEC049,Turnout Maintenance,Switch tongue wear,3,MEDIUM,2025-10-02,2025-10-04,2025-10-23,10.9,10,MEDIUM,Completed
ENG0067,AST0060,SEC060,Rail Replacement,Severely worn rail,4,LOW,2025-03-12,2025-03-12,2025-05-06,9.5,2,LOW,In Progress
ENG0068,AST0260,SEC035,Sleeper Replacement,Broken concrete sleeper,4,LOW,2025-04-23,2025-04-26,2025-06-07,5.5,7,LOW,Completed
ENG0069,AST0253,SEC028,Welding,Misaligned weld,4,LOW,2025-03-06,2025-03-07,2025-05-05,1.1,6,LOW,Pending
ENG0070,AST0094,SEC019,Track Geometry Correction,Twist fault,4,LOW,2025-07-29,2025-07-31,2025-09-03,5.5,3,LOW,Pending
ENG0071,AST0096,SEC021,Ballast Maintenance,Drainage blockage,3,MEDIUM,2025-12-19,2025-12-21,2026-01-16,11.7,14,MEDIUM,Completed
ENG0072,AST0143,SEC068,Turnout Maintenance,Check rail gap,3,MEDIUM,2025-04-29,2025-05-01,2025-05-29,9.7,2,MEDIUM,Pending
ENG0073,AST0299,SEC074,Track Geometry Correction,Gauge irregularity,3,MEDIUM,2025-08-20,2025-08-21,2025-09-06,3.1,5,MEDIUM,Scheduled
ENG0074,AST0377,SEC002,Track Geometry Correction,Gauge irregularity,5,LOW,2025-06-25,2025-06-26,2025-08-20,11.0,13,LOW,Pending
ENG0075,AST0053,SEC053,Sleeper Replacement,Missing sleeper,3,MEDIUM,2025-02-04,2025-02-06,2025-03-02,10.0,12,MEDIUM,Cancelled
ENG0076,AST0295,SEC070,Rail Replacement,Severely worn rail,2,HIGH,2025-05-04,2025-05-05,2025-05-17,8.2,14,HIGH,Completed
ENG0077,AST0040,SEC040,Track Geometry Correction,Cross-level error,3,MEDIUM,2025-07-06,2025-07-06,2025-07-27,9.5,6,MEDIUM,Scheduled
ENG0078,AST0365,SEC065,Ballast Maintenance,Fouled ballast,2,HIGH,2025-09-14,2025-09-15,2025-09-24,9.6,3,HIGH,Completed
ENG0079,AST0186,SEC036,Rail Inspection,Corrugation,4,LOW,2025-09-09,2025-09-12,2025-10-13,10.6,13,LOW,Completed
ENG0080,AST0278,SEC053,Ballast Maintenance,Insufficient ballast,4,LOW,2025-04-22,2025-04-23,2025-05-25,9.4,9,LOW,Cancelled
ENG0081,AST0210,SEC060,Track Geometry Correction,Alignment defect,3,MEDIUM,2025-11-10,2025-11-11,2025-12-02,10.3,12,MEDIUM,Scheduled
ENG0082,AST0024,SEC024,Ballast Maintenance,Insufficient ballast,2,HIGH,2025-01-29,2025-01-30,2025-02-10,5.2,7,HIGH,Completed
ENG0083,AST0001,SEC001,Track Geometry Correction,Gauge irregularity,4,LOW,2025-08-29,2025-08-30,2025-10-24,3.2,9,LOW,Pending
ENG0084,AST0349,SEC049,Track Geometry Correction,Cross-level error,4,LOW,2025-03-02,2025-03-03,2025-03-30,4.1,3,LOW,Completed
ENG0085,AST0065,SEC065,Track Geometry Correction,Alignment defect,5,LOW,2025-09-12,2025-09-14,2025-11-12,5.7,10,LOW,Cancelled
ENG0086,AST0226,SEC001,Turnout Maintenance,Switch tongue wear,3,MEDIUM,2025-12-03,2025-12-04,2026-01-02,5.9,3,MEDIUM,Completed
ENG0087,AST0102,SEC027,Rail Replacement,Rail end batter,4,LOW,2025-01-16,2025-01-19,2025-03-02,4.3,10,LOW,Completed
ENG0088,AST0379,SEC004,Track Geometry Correction,Gauge irregularity,1,CRITICAL,2025-02-10,2025-02-11,2025-02-17,9.2,13,HIGH,Completed
ENG0089,AST0020,SEC020,Welding,Weld crack,2,HIGH,2025-07-19,2025-07-21,2025-08-02,1.4,7,HIGH,Completed
ENG0090,AST0338,SEC038,Welding,Weld crack,4,LOW,2025-04-24,2025-04-27,2025-05-31,4.5,14,LOW,Cancelled
ENG0091,AST0260,SEC035,Sleeper Replacement,Decayed wooden sleeper,3,MEDIUM,2025-01-28,2025-01-29,2025-02-18,10.0,8,MEDIUM,Completed
ENG0092,AST0361,SEC061,Track Geometry Correction,Cross-level error,5,LOW,2025-06-15,2025-06-15,2025-08-20,6.1,11,LOW,Completed
ENG0093,AST0263,SEC038,Turnout Maintenance,Point mechanism fault,4,LOW,2025-07-11,2025-07-12,2025-08-15,6.3,3,LOW,Pending
ENG0094,AST0119,SEC044,Rail Replacement,End-post fracture,3,MEDIUM,2025-09-27,2025-09-27,2025-10-19,9.2,8,MEDIUM,Pending
ENG0095,AST0286,SEC061,Rail Replacement,End-post fracture,5,LOW,2025-02-20,2025-02-20,2025-04-16,4.0,5,LOW,Pending
ENG0096,AST0142,SEC067,Welding,Weld crack,3,MEDIUM,2025-02-05,2025-02-06,2025-02-22,8.3,15,MEDIUM,Completed
ENG0097,AST0202,SEC052,Ballast Maintenance,Fouled ballast,2,HIGH,2025-01-30,2025-01-30,2025-02-09,3.4,11,HIGH,Pending
ENG0098,AST0075,SEC075,Rail Inspection,Worn rail head,1,CRITICAL,2025-09-26,2025-09-29,2025-10-04,10.0,5,HIGH,Pending
ENG0099,AST0157,SEC007,Rail Inspection,Corrugation,2,HIGH,2025-01-28,2025-01-28,2025-02-12,8.3,3,HIGH,Completed
ENG0100,AST0207,SEC057,Welding,Weld depression,2,HIGH,2025-02-11,2025-02-14,2025-02-26,7.3,11,HIGH,Pending
ENG0101,AST0166,SEC016,Rail Replacement,Rail end batter,2,HIGH,2025-07-14,2025-07-14,2025-07-26,11.3,14,HIGH,Completed
ENG0102,AST0046,SEC046,Track Geometry Correction,Cross-level error,3,MEDIUM,2025-01-17,2025-01-19,2025-02-13,7.0,13,MEDIUM,Scheduled
ENG0103,AST0251,SEC026,Sleeper Replacement,Decayed wooden sleeper,3,MEDIUM,2025-03-24,2025-03-24,2025-04-15,11.0,7,MEDIUM,Completed
ENG0104,AST0236,SEC011,Turnout Maintenance,Crossing nose defect,2,HIGH,2025-11-07,2025-11-10,2025-11-20,10.3,6,HIGH,Pending
ENG0105,AST0063,SEC063,Track Alignment,Cant deficiency,2,HIGH,2025-01-25,2025-01-28,2025-02-11,7.0,13,HIGH,Completed
ENG0106,AST0058,SEC058,Rail Replacement,Rail end batter,4,LOW,2025-10-01,2025-10-03,2025-11-09,1.4,2,LOW,Completed
ENG0107,AST0039,SEC039,Ballast Maintenance,Drainage blockage,5,LOW,2025-07-22,2025-07-24,2025-09-23,7.1,7,LOW,Pending
ENG0108,AST0238,SEC013,Track Geometry Correction,Twist fault,3,MEDIUM,2025-04-19,2025-04-20,2025-05-20,9.0,5,MEDIUM,Scheduled
ENG0109,AST0119,SEC044,Sleeper Replacement,Broken concrete sleeper,5,LOW,2025-04-17,2025-04-19,2025-06-17,8.4,13,LOW,Pending
ENG0110,AST0320,SEC020,Sleeper Replacement,Broken concrete sleeper,4,LOW,2025-10-12,2025-10-13,2025-11-20,5.0,15,LOW,Scheduled
ENG0111,AST0083,SEC008,Turnout Maintenance,Check rail gap,4,LOW,2025-04-17,2025-04-19,2025-05-16,1.5,2,LOW,Scheduled
ENG0112,AST0065,SEC065,Ballast Maintenance,Fouled ballast,3,MEDIUM,2025-02-15,2025-02-16,2025-03-12,9.0,12,MEDIUM,In Progress
ENG0113,AST0040,SEC040,Rail Inspection,Worn rail head,4,LOW,2025-07-26,2025-07-27,2025-09-18,8.3,7,LOW,Completed
ENG0114,AST0096,SEC021,Ballast Maintenance,Vegetation growth,4,LOW,2025-01-16,2025-01-16,2025-03-13,8.5,9,LOW,Completed
ENG0115,AST0292,SEC067,Rail Replacement,Severely worn rail,1,CRITICAL,2025-04-11,2025-04-13,2025-04-17,10.1,7,HIGH,Pending
ENG0116,AST0319,SEC019,Welding,Misaligned weld,4,LOW,2025-05-29,2025-06-01,2025-07-05,5.3,4,LOW,In Progress
ENG0117,AST0247,SEC022,Ballast Maintenance,Vegetation growth,2,HIGH,2025-06-28,2025-06-28,2025-07-06,2.9,14,HIGH,Scheduled
ENG0118,AST0053,SEC053,Rail Replacement,Broken rail,1,CRITICAL,2025-08-10,2025-08-10,2025-08-16,6.0,5,HIGH,Completed
ENG0119,AST0271,SEC046,Rail Replacement,Severely worn rail,3,MEDIUM,2025-04-10,2025-04-10,2025-05-06,10.2,2,MEDIUM,Pending
ENG0120,AST0148,SEC073,Sleeper Replacement,Missing sleeper,4,LOW,2025-10-02,2025-10-04,2025-11-23,2.7,12,LOW,Pending
ENG0121,AST0257,SEC032,Track Geometry Correction,Alignment defect,4,LOW,2025-10-29,2025-10-31,2025-12-17,10.9,11,LOW,Scheduled
ENG0122,AST0220,SEC070,Welding,Weld crack,2,HIGH,2025-07-30,2025-08-02,2025-08-11,10.6,4,HIGH,Cancelled
ENG0123,AST0074,SEC074,Ballast Maintenance,Drainage blockage,3,MEDIUM,2025-10-28,2025-10-30,2025-11-18,4.2,2,MEDIUM,Pending
ENG0124,AST0321,SEC021,Rail Replacement,End-post fracture,2,HIGH,2025-10-14,2025-10-14,2025-10-23,8.2,8,HIGH,Scheduled
ENG0125,AST0055,SEC055,Turnout Maintenance,Check rail gap,1,CRITICAL,2025-09-05,2025-09-08,2025-09-11,2.1,5,HIGH,Completed
ENG0126,AST0077,SEC002,Ballast Maintenance,Drainage blockage,4,LOW,2025-10-26,2025-10-29,2025-12-16,3.3,10,LOW,Pending
ENG0127,AST0172,SEC022,Track Geometry Correction,Gauge irregularity,3,MEDIUM,2025-08-02,2025-08-02,2025-08-20,2.9,11,MEDIUM,Scheduled
ENG0128,AST0190,SEC040,Sleeper Replacement,Decayed wooden sleeper,2,HIGH,2025-04-03,2025-04-05,2025-04-17,11.6,7,HIGH,Scheduled
ENG0129,AST0314,SEC014,Welding,Weld depression,4,LOW,2025-02-16,2025-02-17,2025-03-14,2.0,8,LOW,Pending
ENG0130,AST0376,SEC001,Sleeper Replacement,Decayed wooden sleeper,3,MEDIUM,2025-11-07,2025-11-10,2025-11-30,8.0,7,MEDIUM,Cancelled
ENG0131,AST0262,SEC037,Rail Replacement,Severely worn rail,3,MEDIUM,2025-10-27,2025-10-27,2025-11-24,8.2,3,MEDIUM,Pending
ENG0132,AST0147,SEC072,Turnout Maintenance,Switch tongue wear,5,LOW,2025-06-25,2025-06-25,2025-09-19,8.6,3,LOW,Completed
ENG0133,AST0330,SEC030,Ballast Maintenance,Insufficient ballast,3,MEDIUM,2025-12-18,2025-12-21,2026-01-04,4.0,12,MEDIUM,Cancelled
ENG0134,AST0085,SEC010,Rail Replacement,Rail end batter,1,CRITICAL,2025-10-05,2025-10-07,2025-10-10,6.6,7,HIGH,Pending
ENG0135,AST0028,SEC028,Turnout Maintenance,Crossing nose defect,1,CRITICAL,2025-01-26,2025-01-26,2025-01-30,9.4,3,HIGH,Scheduled
ENG0136,AST0166,SEC016,Track Geometry Correction,Cross-level error,4,LOW,2025-05-30,2025-06-01,2025-07-01,8.9,4,LOW,Scheduled
ENG0137,AST0185,SEC035,Rail Replacement,End-post fracture,2,HIGH,2025-07-12,2025-07-14,2025-07-28,10.3,5,HIGH,Scheduled
ENG0138,AST0219,SEC069,Track Alignment,Buckling risk,3,MEDIUM,2025-08-01,2025-08-04,2025-08-18,11.2,14,MEDIUM,Cancelled
ENG0139,AST0019,SEC019,Turnout Maintenance,Check rail gap,3,MEDIUM,2025-11-06,2025-11-07,2025-11-24,6.9,8,MEDIUM,In Progress
ENG0140,AST0140,SEC065,Welding,Weld depression,3,MEDIUM,2025-05-26,2025-05-26,2025-06-21,1.9,9,MEDIUM,Pending
ENG0141,AST0073,SEC073,Rail Inspection,Worn rail head,4,LOW,2025-05-26,2025-05-26,2025-07-01,10.4,5,LOW,Pending
ENG0142,AST0324,SEC024,Track Geometry Correction,Twist fault,3,MEDIUM,2025-08-17,2025-08-17,2025-09-09,9.3,3,MEDIUM,Completed
ENG0143,AST0047,SEC047,Track Alignment,Lateral misalignment,3,MEDIUM,2025-10-02,2025-10-03,2025-10-19,1.1,3,MEDIUM,Pending
ENG0144,AST0277,SEC052,Rail Replacement,End-post fracture,3,MEDIUM,2025-07-08,2025-07-09,2025-07-25,5.9,3,MEDIUM,Completed
ENG0145,AST0246,SEC021,Track Alignment,Cant deficiency,4,LOW,2025-04-16,2025-04-16,2025-05-11,4.9,2,LOW,Pending
ENG0146,AST0067,SEC067,Track Geometry Correction,Gauge irregularity,5,LOW,2025-06-24,2025-06-24,2025-08-09,5.2,11,LOW,Completed
ENG0147,AST0042,SEC042,Track Alignment,Vertical misalignment,2,HIGH,2025-02-11,2025-02-12,2025-02-27,10.6,8,HIGH,In Progress
ENG0148,AST0185,SEC035,Sleeper Replacement,Broken concrete sleeper,4,LOW,2025-03-13,2025-03-13,2025-04-19,9.7,11,LOW,Scheduled
ENG0149,AST0082,SEC007,Turnout Maintenance,Check rail gap,4,LOW,2025-10-05,2025-10-05,2025-11-17,8.4,6,LOW,Pending
ENG0150,AST0288,SEC063,Turnout Maintenance,Crossing nose defect,2,HIGH,2025-03-09,2025-03-10,2025-03-23,7.8,10,HIGH,Completed
ENG0151,AST0026,SEC026,Turnout Maintenance,Crossing nose defect,3,MEDIUM,2025-04-04,2025-04-05,2025-04-28,2.0,7,MEDIUM,Scheduled
ENG0152,AST0351,SEC051,Ballast Maintenance,Fouled ballast,4,LOW,2025-02-13,2025-02-14,2025-03-22,11.9,5,LOW,Completed
ENG0153,AST0311,SEC011,Rail Inspection,Corrugation,1,CRITICAL,2025-08-12,2025-08-14,2025-08-17,8.8,3,HIGH,Scheduled
ENG0154,AST0366,SEC066,Ballast Maintenance,Drainage blockage,4,LOW,2025-12-05,2025-12-07,2026-01-30,9.9,11,LOW,Scheduled
ENG0155,AST0239,SEC014,Track Geometry Correction,Twist fault,4,LOW,2025-08-28,2025-08-29,2025-09-27,1.0,10,LOW,In Progress
ENG0156,AST0328,SEC028,Rail Replacement,Rail end batter,2,HIGH,2025-07-21,2025-07-23,2025-08-07,8.2,7,HIGH,Pending
ENG0157,AST0090,SEC015,Turnout Maintenance,Switch tongue wear,3,MEDIUM,2025-05-13,2025-05-15,2025-06-13,2.0,12,MEDIUM,Cancelled
ENG0158,AST0241,SEC016,Rail Replacement,Rail end batter,3,MEDIUM,2024-12-29,2025-01-01,2025-01-24,8.8,10,MEDIUM,Pending
ENG0159,AST0068,SEC068,Rail Inspection,Worn rail head,5,LOW,2025-10-24,2025-10-24,2025-12-12,9.5,2,LOW,Completed
ENG0160,AST0033,SEC033,Track Geometry Correction,Alignment defect,4,LOW,2025-03-16,2025-03-18,2025-05-15,6.3,9,LOW,Pending
ENG0161,AST0107,SEC032,Turnout Maintenance,Switch tongue wear,1,CRITICAL,2025-11-13,2025-11-16,2025-11-23,7.6,12,HIGH,Scheduled
ENG0162,AST0068,SEC068,Ballast Maintenance,Drainage blockage,2,HIGH,2025-07-20,2025-07-21,2025-08-05,2.2,5,HIGH,Completed
ENG0163,AST0108,SEC033,Sleeper Replacement,Missing sleeper,2,HIGH,2025-12-04,2025-12-05,2025-12-13,5.0,6,HIGH,Scheduled
ENG0164,AST0118,SEC043,Rail Inspection,Worn rail head,3,MEDIUM,2025-07-23,2025-07-26,2025-08-21,5.0,4,MEDIUM,Scheduled
ENG0165,AST0183,SEC033,Rail Replacement,Broken rail,3,MEDIUM,2025-10-26,2025-10-27,2025-11-10,9.9,14,MEDIUM,Pending
ENG0166,AST0324,SEC024,Track Geometry Correction,Twist fault,4,LOW,2025-09-25,2025-09-28,2025-11-24,10.9,13,LOW,Scheduled
ENG0167,AST0117,SEC042,Track Geometry Correction,Twist fault,2,HIGH,2025-10-13,2025-10-16,2025-10-30,2.8,10,HIGH,In Progress
ENG0168,AST0080,SEC005,Rail Inspection,Worn rail head,4,LOW,2025-07-13,2025-07-14,2025-09-08,4.6,6,LOW,Scheduled
ENG0169,AST0190,SEC040,Track Geometry Correction,Twist fault,3,MEDIUM,2025-07-28,2025-07-30,2025-08-17,7.0,10,MEDIUM,Pending
ENG0170,AST0341,SEC041,Turnout Maintenance,Point mechanism fault,2,HIGH,2025-02-15,2025-02-16,2025-03-01,2.7,4,HIGH,Completed
ENG0171,AST0316,SEC016,Turnout Maintenance,Switch tongue wear,2,HIGH,2025-06-03,2025-06-04,2025-06-17,8.5,14,HIGH,Pending
ENG0172,AST0251,SEC026,Track Alignment,Cant deficiency,2,HIGH,2025-04-16,2025-04-17,2025-04-28,3.1,2,HIGH,Cancelled
ENG0173,AST0021,SEC021,Sleeper Replacement,Cracked sleeper,1,CRITICAL,2025-05-17,2025-05-18,2025-05-24,7.4,4,HIGH,Pending
ENG0174,AST0182,SEC032,Track Alignment,Lateral misalignment,3,MEDIUM,2025-11-26,2025-11-26,2025-12-23,6.0,12,MEDIUM,In Progress
ENG0175,AST0126,SEC051,Welding,Misaligned weld,4,LOW,2025-07-23,2025-07-24,2025-09-08,8.5,3,LOW,Completed
ENG0176,AST0338,SEC038,Welding,Thermit weld defect,1,CRITICAL,2024-12-30,2025-01-02,2025-01-07,2.9,11,HIGH,Completed
ENG0177,AST0231,SEC006,Sleeper Replacement,Decayed wooden sleeper,2,HIGH,2025-07-17,2025-07-18,2025-08-01,7.0,13,HIGH,Scheduled
ENG0178,AST0012,SEC012,Track Alignment,Buckling risk,3,MEDIUM,2025-03-28,2025-03-28,2025-04-11,7.4,3,MEDIUM,Completed
ENG0179,AST0149,SEC074,Sleeper Replacement,Broken concrete sleeper,3,MEDIUM,2025-07-12,2025-07-15,2025-08-10,6.5,12,MEDIUM,Completed
ENG0180,AST0240,SEC015,Sleeper Replacement,Broken concrete sleeper,4,LOW,2025-09-02,2025-09-02,2025-10-15,3.8,5,LOW,Completed
